"id","userId","module","canCreate","canVerify","canApprove","canView"
"bfeec633-fab9-4696-8057-abeb3c88c6eb","9d3de344-0418-4acd-87dd-959f7a658c8b","customers","true","true","true","true"
"c1b86fe5-efb4-424b-81fe-586018ef5228","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","pi","true","true","true","true"
"c95e9479-c190-4ddb-879c-ec67fe28ee65","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","employees","true","true","true","true"
"de05fd4b-22e7-4bd1-b5e8-91493608d733","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","journals","true","true","true","true"
"e2e60032-3d98-44ea-9f98-0fd6b09d4a29","9d3de344-0418-4acd-87dd-959f7a658c8b","loans","true","true","true","true"
"e3297055-ccb8-42d2-859e-09bbff036262","9d3de344-0418-4acd-87dd-959f7a658c8b","products","true","true","true","true"
"e8eaa0c4-8e1e-4115-981a-1aa6bd99d839","e88ca230-8eba-4fcb-89ae-111af8ce4955","journals","true","false","false","true"
"ea6eaec8-833f-410b-9018-784164e6cd7d","e88ca230-8eba-4fcb-89ae-111af8ce4955","vendors","true","false","false","true"
"ea89c8aa-d030-44f8-85e7-bb2416ba17f5","e88ca230-8eba-4fcb-89ae-111af8ce4955","invoices","true","false","false","true"
"ef0eda6d-4796-4eca-a153-9133d6af86fc","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","customers","true","true","true","true"
"f0ce32e9-981e-44a8-b29f-9f4c1c3a696a","87ccbe73-e7ed-4a75-8a0f-40422e2c194f","attachments","true","true","true","true"
