"id","entryNumber","companyId","date","description","reference","status","totalDebit","totalCredit","createdById","verifiedById","approvedById","rejectedById","rejectionReason","verifiedAt","approvedAt","createdAt","updatedAt","branchId","currencyId","exchangeRate"
"82d76164-0970-4871-ac71-65cab87f1baa","JE-2026-0011","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"REJECTED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","",,,"2026-04-01 20:56:03.691","2026-04-01 20:59:12.047",,,"1"
"83fc2039-f3c6-4c40-ae7e-698dc7fd6189","JE-2026-0006","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","",,"APPROVED","10000","10000","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-03-31 22:23:48.844","2026-04-01 18:13:27.599","2026-03-31 22:23:33.624","2026-04-01 18:13:27.599",,,"1"
"98f98cca-e7bc-4278-b547-63e78db06a9d","JE-2026-0012","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"APPROVED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","","2026-04-01 23:39:32.707","2026-04-01 23:39:33.731","2026-04-01 21:22:25.733","2026-04-01 23:39:33.731",,,"1"
"9b0523b2-6591-41bf-b9ce-c284fb123a6e","JV-PMT-152e2c32","235280c2-f037-4249-8696-bc38738a190e","2026-04-06 00:00:00","Payment Received - Ref: PAY-1775458459372","PAY-1775458459372","APPROVED","1122000","1122000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:54:19.458","2026-04-06 06:54:19.458","2026-04-06 06:54:19.458",,,"1"
"9beda01f-1065-4795-90f1-26c85662474d","JV-TRF-64feadac","235280c2-f037-4249-8696-bc38738a190e","2026-04-06 00:00:00","Bank Transfer: Account Transfer","TRF-1775463193005","APPROVED","1000","1000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 08:13:13.07","2026-04-06 08:13:13.071","2026-04-06 08:13:13.071",,,"1"
"a8da2707-a978-4175-b406-84b2c3ac7eb9","JE-2026-0014","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"APPROVED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-04-01 23:39:26.61","2026-04-01 23:39:28.138","2026-04-01 22:52:51.433","2026-04-01 23:39:28.139",,,"1"
"b9819d9f-5492-41b5-baaf-95ba4db9a8d8","JE-2026-0004","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","Employee Loan for Ashraful Sulaiman - ",,"APPROVED","10000","10000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,,,"2026-03-31 21:16:43.856","2026-03-31 21:16:43.856",,,"1"
"cc1d2369-6c1c-4429-abb1-c5961e7498eb","JE-2026-0015","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"APPROVED","100","100","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-04-01 23:13:38.285","2026-04-01 23:14:15.628","2026-04-01 23:13:25.826","2026-04-01 23:14:15.629",,,"1"
"cf2c2a03-c5be-4fee-9741-2d5e44b1490e","JV-INV-235280c2-INV-2026-0008","235280c2-f037-4249-8696-bc38738a190e","2026-04-02 00:00:00","Auto-journal: Invoice INV-2026-0008","INV-2026-0008","APPROVED","128.7","128.7","3de00e61-540e-46b8-afac-9c389a516e8f",,"3de00e61-540e-46b8-afac-9c389a516e8f",,,,"2026-04-06 06:19:33.306","2026-04-06 06:19:33.307","2026-04-06 06:19:33.307",,,"1"
"e43514ba-a87f-4929-9b5c-2ef462eff006","JV-INV-235280c2-INV-2026-0001","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","Auto-journal: Invoice INV-2026-0001","INV-2026-0001","APPROVED","102","102","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:57:18.817","2026-04-06 06:57:18.817","2026-04-06 06:57:18.817",,,"1"
"ed55b84f-a1c6-426a-8b5f-6208dc967b46","JE-2026-0009","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"APPROVED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7","3de00e61-540e-46b8-afac-9c389a516e8f","3de00e61-540e-46b8-afac-9c389a516e8f",,,"2026-04-06 06:20:03.829","2026-04-06 06:20:05.488","2026-04-01 20:55:00.007","2026-04-06 06:20:05.489",,,"1"
"f303ae68-3c65-4651-b951-5d4f9d879327","JE-2026-0010","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"APPROVED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7","3de00e61-540e-46b8-afac-9c389a516e8f","3de00e61-540e-46b8-afac-9c389a516e8f",,,"2026-04-06 06:20:00.297","2026-04-06 06:20:02.234","2026-04-01 20:55:44.514","2026-04-06 06:20:02.234",,,"1"
"fbb24225-b897-4eb4-b180-1b3198aceee6","JE-2026-0005","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","Advance for Ashraful Sulaiman - ",,"APPROVED","500","500","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,,,"2026-03-31 21:40:14.084","2026-03-31 21:40:14.084",,,"1"
"fe906f63-9257-4c99-ba55-ea216abae69c","JV-PMT-622ff3a8","235280c2-f037-4249-8696-bc38738a190e","2026-04-06 00:00:00","Payment Made - Ref: PAY-1775458469559","PAY-1775458469559","APPROVED","1211.55","1211.55","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:54:29.588","2026-04-06 06:54:29.589","2026-04-06 06:54:29.589",,,"1"
"fff74932-40cf-4e75-bcee-7ee6fe2f50da","JV-PMT-273829c2","235280c2-f037-4249-8696-bc38738a190e","2026-04-06 00:00:00","Payment Received - Ref: PAY-1775458658222","PAY-1775458658222","APPROVED","102","102","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:57:38.237","2026-04-06 06:57:38.238","2026-04-06 06:57:38.238",,,"1"
